names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,celltypes
CRYAB,66.31452,3.681309,0.0,0.0,0.6628972509261064,0.11073077967943494,Cardiomyocytes (NKX2.5+)
CACNA1D,66.2739,3.031225,0.0,0.0,0.8139988301813219,0.2774789459386036,Cardiomyocytes (NKX2.5+)
CDH2,66.056,1.9373195,0.0,0.0,0.9504776759602261,0.6417006248302092,Cardiomyocytes (NKX2.5+)
MDH1,65.307976,1.9059527,0.0,0.0,0.8676155195944628,0.5431947840260799,Cardiomyocytes (NKX2.5+)
MEF2A,64.845406,1.5284946,0.0,0.0,0.9456034314681224,0.7594947025264873,Cardiomyocytes (NKX2.5+)
FAM189A2,64.59548,3.6566796,0.0,0.0,0.6391109378046402,0.10828579190437382,Cardiomyocytes (NKX2.5+)
NCAM1,64.53886,2.019138,0.0,0.0,0.8871124975628778,0.5292311871773975,Cardiomyocytes (NKX2.5+)
DISC2,64.51518,4.309398,0.0,0.0,0.6069409241567557,0.07085031241510459,Cardiomyocytes (NKX2.5+)
KIF13A,64.44724,1.8946946,0.0,0.0,0.870345096510041,0.5500679163270851,Cardiomyocytes (NKX2.5+)
NKX2-5,64.36035,4.691071,0.0,0.0,0.5893936439851823,0.04675359956533551,Cardiomyocytes (NKX2.5+)
CRIP2,64.136505,2.969925,0.0,0.0,0.6835640475726262,0.17402879652268405,Cardiomyocytes (NKX2.5+)
MSRB3,63.91737,2.2182791,0.0,0.0,0.8093195554689023,0.36669383319750065,Cardiomyocytes (NKX2.5+)
CKM,63.87287,3.9579198,0.0,0.0,0.6139598362253851,0.07541428959521869,Cardiomyocytes (NKX2.5+)
EEF1A2,63.8491,3.2771368,0.0,0.0,0.6568531877558978,0.12116272751969573,Cardiomyocytes (NKX2.5+)
PTPRD,63.695545,1.6919717,0.0,0.0,0.9481380386040164,0.7402607986960065,Cardiomyocytes (NKX2.5+)
CELF2,63.512836,2.0260963,0.0,0.0,0.8407096899980503,0.4604183645748438,Cardiomyocytes (NKX2.5+)
