Cardiac_Mesoderm,Cardiomyocytes,Definitive_Endoderm,Endocardial,Epicardial,Extraembryonic_Mesoderm,Fibroblasts,Foregut_Epithelium,Primitive_Streak,Smooth_Muscle,iPSCs
RP11-256I9.3,NEBL,HNF1A-AS1,ERG,LIFR,ADAMTS18,NPC2,GATM,MIR302CHG,VCAN,UCHL1
HTRA1,CMYA5,NRCAM,ZEB1,MEST,KRT7,PTPN13,TMSB10,ENO1,IGFBP3,IGFBP2
RP11-419I17.1,TECRL,DENND2C,IGFBP4,SARAF,IGFBP3,CCBE1,FILIP1L,L1TD1,DLK1,LINC00678
LGR5,CACNA1D,COL19A1,LIMCH1,BST2,CTHRC1,LIX1,HMGCS2,CYCS,MMP2,VASH2
TMTC1,FHOD3,CHST9,CCDC85B,BNC1,ANXA1,BMP4,GLIS3,CBR1,IFITM3,LDB2
RP11-113C12.4,ESRRG,FGFR1,PLVAP,SVEP1,SPARC,SVEP1,MALAT1,TUBB2A,MEST,PCDH11X
AF228730.14,EMC10,APOC1,ITGA9,PODXL,GNAS,STEAP1B,TM4SF4,PTGES3,CALD1,HMGA1
FSHR,KCNIP4,MGST2,MSN,S100A10,SESN3,EMP2,DCDC2,PSAT1,SEPTIN7,PMAIP1
RP11-1396O13.23,CACNB2,PCBD1,PRCP,PHGDH,DSP,LINC01695,ALDH1A1,HSP90AB1,MAML2,JARID2
CTC-342M10.2,ATP2A2,S100A16,PCDH17,MYL7,EZR,CHST11,ANXA13,MT-CYB,NFIB,GAPDH
HECW2,HDAC9,APOA2,EMCN,CALD1,ANXA3,LEF1,A1CF,NASP,MARCKS,HSPD1
RP11-125O18.1,TRDN,GJA1,ITM2B,TPM1,COL1A1,COLEC12,SPTLC3,TUBA1B,MAGI2,DNMT3B
RHOBTB3,QKI,LINC00261,CDH13,SYT10,CD9,ARHGAP6,MAGI1,DPPA4,RBP1,PVT1
HAS2-AS1,ABLIM1,NEDD4L,TFPI2,TNNI1,PDE4D,PCDH7,CST3,ACTB,KCNQ1OT1,RAN
TENM4,MITF,COL4A1,CDH5,KRT8,FOS,CSRP2,S100A6,PRDX1,TMSB4X,SHISA9
SAMD3,MYO18B,LINC01356,SPTBN1,SERPINB9,KRT19,ST8SIA1,WFDC2,UCHL1,UNC5C,MGST1
MCF2L2,SMPX,S100A14,F2R,BMP4,S100A6,CDK14,ANXA2,RPL8,MALAT1,RMST
APLNR,POPDC2,EPHA6,KLHL4,EMP2,P2RY6,P3H2,CAMK2N1,MIXL1,EMILIN1,MIR302CHG
LINC01695,MEF2A,FLRT3,VAMP5,FRMD4B,ACSM3,LGR4,SOX4,ADCY2,TGFBR3,PGK1
SYN3,NRP1,CCKBR,WWTR1,KCNMA1,UBL3,BMP5,CTNND2,RPS16,HMGA2,RP11-213B3.1
KCNQ5,RBM20,S100A10,TEK,ZFPM2,KIAA1217,NRP1,HES4,CRABP1,EMP3,TPI1
RP11-281P23.2,MPPED2,ADD3,ELK3,CDK6,LGALS3,DUSP6,PLD1,NPM1,TMSB10,PTMA
